  Hz	 Vrms	dBV	deg
10.00	0.004	-48.392	-55.8
20.00	0.005	-45.429	-85.8
30.00	0.005	-45.251	-87.1
40.00	0.005	-46.012	-90.0
50.00	0.007	-42.821	-95.1
60.00	0.007	-42.822	-165.9
70.00	0.007	-43.332	-144.1
80.00	0.007	-43.677	-165.2
90.00	0.008	-41.933	-174.9
100.0	0.013	-37.884	158.4
110.0	0.015	-36.254	-176.0
120.0	0.010	-40.243	177.0
130.0	0.009	-40.564	177.6
140.0	0.008	-41.601	176.5
150.0	0.010	-40.188	-178.1
160.0	0.009	-41.017	172.8
170.0	0.014	-36.880	173.3
180.0	0.011	-38.972	172.2
190.0	0.010	-40.234	173.0
200.0	0.015	-36.735	171.0
210.0	0.012	-38.376	172.4
220.0	0.010	-40.014	170.1
230.0	0.012	-38.733	169.2
240.0	0.012	-38.491	167.2
250.0	0.018	-34.925	173.8
260.0	0.016	-35.807	165.0
270.0	0.012	-38.270	164.3
280.0	0.012	-38.774	163.7
290.0	0.013	-37.957	162.4
300.0	0.014	-37.289	161.5
310.0	0.014	-37.109	161.4
320.0	0.015	-36.438	160.7
330.0	0.020	-33.874	160.1
340.0	0.028	-31.069	159.4
350.0	0.023	-32.663	158.5
360.0	0.020	-33.945	158.1
370.0	0.016	-36.056	156.9
380.0	0.016	-36.111	156.6
390.0	0.016	-35.828	156.2
400.0	0.016	-35.767	154.6
410.0	0.018	-35.071	154.6
420.0	0.018	-34.692	153.6
430.0	0.019	-34.452	153.4
440.0	0.019	-34.314	154.1
450.0	0.020	-33.917	152.1
460.0	0.020	-33.786	151.1
470.0	0.021	-33.375	151.2
480.0	0.023	-32.637	150.4
490.0	0.027	-31.366	149.8
500.0	0.037	-28.605	150.0
510.0	0.041	-27.681	148.2
520.0	0.034	-29.468	148.5
530.0	0.030	-30.426	147.9
540.0	0.027	-31.426	148.7
550.0	0.025	-31.983	146.9
560.0	0.025	-31.982	146.5
570.0	0.026	-31.690	145.9
580.0	0.027	-31.450	144.9
590.0	0.027	-31.322	145.2
600.0	0.028	-30.940	144.7
610.0	0.029	-30.710	143.8
620.0	0.030	-30.501	143.5
630.0	0.030	-30.383	142.8
640.0	0.031	-30.117	142.6
650.0	0.032	-29.941	142.1
660.0	0.032	-29.763	142.0
670.0	0.033	-29.556	141.0
680.0	0.034	-29.379	140.9
690.0	0.035	-29.104	140.2
700.0	0.035	-29.042	139.9
710.0	0.036	-28.885	139.6
720.0	0.036	-28.853	139.3
730.0	0.037	-28.749	139.3
740.0	0.037	-28.610	138.3
750.0	0.038	-28.509	138.2
760.0	0.038	-28.432	137.7
770.0	0.038	-28.319	137.4
780.0	0.039	-28.157	136.4
790.0	0.040	-28.067	137.3
800.0	0.040	-27.955	136.3
810.0	0.040	-27.891	136.1
820.0	0.041	-27.757	135.7
830.0	0.042	-27.623	135.4
840.0	0.042	-27.447	135.0
850.0	0.043	-27.344	134.5
860.0	0.044	-27.167	134.4
870.0	0.045	-26.993	134.2
880.0	0.045	-26.921	133.5
890.0	0.046	-26.780	133.4
900.0	0.046	-26.663	133.1
910.0	0.047	-26.591	132.9
920.0	0.048	-26.401	132.4
930.0	0.048	-26.297	132.3
940.0	0.050	-26.069	132.0
950.0	0.051	-25.862	131.6
960.0	0.053	-25.582	131.4
970.0	0.055	-25.154	131.2
980.0	0.058	-24.685	129.9
990.0	0.066	-23.552	130.2
1000.0	0.079	-22.052	130.2
