  Hz	 Vrms	dBV	deg
10.00	0.004	-47.266	-142.9
20.00	0.004	-47.409	-52.9
30.00	0.005	-45.993	110.7
40.00	0.005	-45.803	-46.6
50.00	0.007	-42.674	-115.2
60.00	0.008	-42.458	-134.7
70.00	0.007	-43.145	-178.2
80.00	0.007	-43.223	-154.1
90.00	0.008	-41.984	-157.7
100.0	0.013	-37.794	-173.8
110.0	0.015	-36.307	-166.4
120.0	0.010	-40.202	-164.5
130.0	0.009	-40.531	-167.0
140.0	0.009	-41.245	-174.1
150.0	0.009	-40.532	178.2
160.0	0.009	-41.210	-174.4
170.0	0.014	-37.120	-178.8
180.0	0.011	-39.068	-178.6
190.0	0.010	-40.445	178.9
200.0	0.015	-36.633	175.3
210.0	0.012	-38.591	175.6
220.0	0.010	-40.039	179.0
230.0	0.011	-38.912	174.4
240.0	0.012	-38.549	173.8
250.0	0.019	-34.483	171.5
260.0	0.016	-35.988	172.2
270.0	0.012	-38.489	171.4
280.0	0.011	-39.026	169.5
290.0	0.012	-38.181	168.2
300.0	0.013	-37.546	168.3
310.0	0.014	-37.334	166.8
320.0	0.015	-36.675	166.0
330.0	0.020	-33.970	165.0
340.0	0.027	-31.327	164.9
350.0	0.023	-32.817	164.0
360.0	0.019	-34.236	162.9
370.0	0.015	-36.422	162.3
380.0	0.015	-36.537	161.7
390.0	0.015	-36.231	160.3
400.0	0.016	-35.903	159.3
410.0	0.017	-35.434	159.7
420.0	0.018	-35.107	158.7
430.0	0.018	-34.832	158.7
440.0	0.019	-34.633	157.7
450.0	0.019	-34.331	157.0
460.0	0.020	-34.149	156.0
470.0	0.021	-33.724	155.9
480.0	0.022	-33.002	155.1
490.0	0.026	-31.597	153.7
500.0	0.037	-28.749	154.6
510.0	0.040	-27.907	153.7
520.0	0.032	-29.784	153.0
530.0	0.029	-30.754	152.6
540.0	0.026	-31.752	152.9
550.0	0.024	-32.424	150.6
560.0	0.024	-32.434	151.0
570.0	0.024	-32.261	149.3
580.0	0.025	-32.032	150.2
590.0	0.026	-31.764	149.0
600.0	0.027	-31.367	148.7
610.0	0.028	-31.150	148.2
620.0	0.029	-30.890	147.6
630.0	0.029	-30.823	146.9
640.0	0.030	-30.499	146.5
650.0	0.031	-30.271	146.1
660.0	0.031	-30.122	145.8
670.0	0.032	-29.929	145.4
680.0	0.033	-29.756	144.8
690.0	0.033	-29.561	144.4
700.0	0.034	-29.422	143.7
710.0	0.034	-29.293	143.9
720.0	0.035	-29.213	142.9
730.0	0.035	-29.145	143.0
740.0	0.036	-28.980	142.0
750.0	0.036	-28.893	141.8
760.0	0.036	-28.789	141.6
770.0	0.037	-28.680	141.2
780.0	0.037	-28.552	141.3
790.0	0.038	-28.509	139.5
800.0	0.038	-28.388	140.3
810.0	0.039	-28.222	139.2
820.0	0.039	-28.086	139.2
830.0	0.040	-28.029	139.1
840.0	0.041	-27.828	138.3
850.0	0.041	-27.752	138.1
860.0	0.042	-27.540	137.8
870.0	0.043	-27.386	137.6
880.0	0.043	-27.265	137.1
890.0	0.044	-27.169	136.8
900.0	0.045	-26.980	136.4
910.0	0.045	-26.912	136.2
920.0	0.046	-26.782	135.9
930.0	0.046	-26.654	135.7
940.0	0.048	-26.407	135.2
950.0	0.049	-26.190	135.0
960.0	0.051	-25.838	134.7
970.0	0.054	-25.397	134.3
980.0	0.059	-24.619	133.8
1000.0	0.078	-22.180	134.4
