  Hz	 Vrms	dBV	deg
10.00	0.004	-47.181	80.4
20.00	0.005	-45.983	80.3
30.00	0.005	-45.547	108.3
40.00	0.006	-44.429	-171.2
50.00	0.008	-42.277	-176.9
60.00	0.008	-42.058	174.7
70.00	0.007	-42.900	157.6
80.00	0.007	-42.751	164.1
90.00	0.008	-41.720	161.5
100.0	0.013	-37.914	163.4
110.0	0.016	-35.907	156.9
120.0	0.011	-39.235	151.2
130.0	0.011	-38.811	150.7
140.0	0.010	-40.059	146.2
150.0	0.012	-38.355	142.9
160.0	0.011	-38.957	145.2
170.0	0.018	-35.080	143.8
180.0	0.014	-36.848	142.4
190.0	0.013	-37.440	141.0
200.0	0.017	-35.607	139.6
210.0	0.017	-35.392	138.4
220.0	0.015	-36.282	136.0
230.0	0.017	-35.400	135.2
240.0	0.017	-35.150	134.3
250.0	0.021	-33.461	134.1
260.0	0.023	-32.611	132.0
270.0	0.020	-34.141	131.0
280.0	0.020	-34.180	130.3
290.0	0.021	-33.626	129.2
300.0	0.022	-33.227	128.0
310.0	0.023	-32.911	127.4
320.0	0.024	-32.506	127.0
330.0	0.027	-31.511	126.2
340.0	0.037	-28.680	125.5
350.0	0.032	-29.926	124.8
360.0	0.029	-30.648	123.9
370.0	0.027	-31.402	123.2
380.0	0.027	-31.282	122.8
390.0	0.028	-31.045	122.5
400.0	0.029	-30.853	121.3
410.0	0.030	-30.526	121.3
420.0	0.031	-30.210	120.7
430.0	0.032	-29.999	120.6
440.0	0.032	-29.861	120.3
450.0	0.033	-29.695	119.4
460.0	0.034	-29.432	118.9
470.0	0.035	-29.193	118.6
480.0	0.036	-28.928	118.1
490.0	0.038	-28.405	117.6
500.0	0.044	-27.079	117.6
510.0	0.055	-25.267	117.0
520.0	0.048	-26.407	117.0
530.0	0.044	-27.057	116.4
540.0	0.041	-27.756	116.7
550.0	0.040	-27.930	115.9
560.0	0.040	-27.915	116.0
570.0	0.041	-27.684	115.4
580.0	0.042	-27.599	114.7
590.0	0.043	-27.376	114.7
600.0	0.044	-27.156	114.7
610.0	0.045	-27.027	114.4
620.0	0.045	-26.876	114.2
630.0	0.046	-26.738	113.9
640.0	0.047	-26.585	113.6
650.0	0.048	-26.434	113.4
660.0	0.049	-26.285	113.1
670.0	0.049	-26.167	113.1
680.0	0.050	-26.075	113.0
690.0	0.050	-25.965	112.7
700.0	0.051	-25.786	112.2
710.0	0.052	-25.673	112.3
720.0	0.053	-25.558	112.1
730.0	0.053	-25.498	111.7
740.0	0.054	-25.378	111.6
750.0	0.055	-25.263	111.4
760.0	0.055	-25.213	111.4
770.0	0.055	-25.181	111.2
780.0	0.056	-25.098	111.3
790.0	0.057	-24.951	111.4
800.0	0.057	-24.915	110.1
810.0	0.057	-24.822	110.6
820.0	0.058	-24.709	110.4
830.0	0.059	-24.582	110.3
840.0	0.059	-24.562	110.2
850.0	0.060	-24.427	110.1
860.0	0.061	-24.322	109.8
870.0	0.061	-24.227	109.7
880.0	0.062	-24.130	109.5
890.0	0.063	-24.015	109.4
900.0	0.064	-23.903	109.3
910.0	0.064	-23.828	109.3
920.0	0.065	-23.775	109.3
930.0	0.066	-23.614	108.8
950.0	0.067	-23.438	108.8
960.0	0.068	-23.291	108.8
970.0	0.070	-23.039	108.8
980.0	0.073	-22.769	107.6
990.0	0.077	-22.244	108.4
1000.0	0.085	-21.376	108.1
