  Hz	 Vrms	dBV	deg
10.00	0.005	-45.997	-33.1
20.00	0.007	-43.295	-43.2
30.00	0.007	-43.487	105.0
40.00	0.008	-42.499	-135.7
50.00	0.015	-36.456	-109.0
60.00	0.008	-41.580	21.1
70.00	0.009	-41.011	-66.7
80.00	0.010	-39.769	86.4
90.00	0.011	-38.912	-53.4
100.0	0.028	-31.003	-40.7
110.0	0.018	-35.115	92.9
120.0	0.010	-39.850	4.3
130.0	0.011	-39.209	-85.2
140.0	0.009	-40.541	-79.1
150.0	0.015	-36.282	-21.1
160.0	0.010	-40.217	-88.5
170.0	0.013	-37.543	-68.0
180.0	0.019	-34.624	-56.6
190.0	0.012	-38.610	-85.0
200.0	0.011	-39.153	-90.1
210.0	0.011	-39.518	-96.8
220.0	0.024	-32.340	-81.0
230.0	0.014	-36.916	-96.1
240.0	0.014	-37.113	-117.1
250.0	0.013	-37.628	-71.4
260.0	0.012	-38.307	-83.2
270.0	0.011	-39.339	-90.3
280.0	0.012	-38.546	-90.5
290.0	0.022	-33.140	-87.2
300.0	0.028	-31.199	-91.6
310.0	0.015	-36.685	-98.1
320.0	0.014	-37.336	-89.9
330.0	0.016	-36.109	-88.7
340.0	0.020	-33.948	-95.5
350.0	0.023	-32.692	-126.1
360.0	0.015	-36.261	-92.9
370.0	0.013	-37.943	-91.2
380.0	0.011	-38.847	-93.1
390.0	0.011	-39.169	-100.7
400.0	0.011	-38.926	-82.1
410.0	0.011	-38.931	-86.7
420.0	0.012	-38.330	-93.6
430.0	0.022	-33.049	-91.5
440.0	0.043	-27.300	-57.4
450.0	0.039	-28.205	-87.2
460.0	0.020	-33.915	-90.9
470.0	0.016	-35.989	-90.5
480.0	0.014	-36.973	-94.2
490.0	0.013	-37.516	-90.1
500.0	0.013	-37.873	-90.2
510.0	0.013	-37.532	-90.5
520.0	0.014	-36.906	-91.0
530.0	0.014	-37.075	-85.3
540.0	0.013	-37.498	-95.1
550.0	0.012	-38.376	-84.7
560.0	0.013	-37.655	-93.9
570.0	0.013	-37.929	-90.4
580.0	0.013	-37.562	-93.3
590.0	0.013	-37.888	-90.3
600.0	0.014	-36.925	-92.6
610.0	0.016	-35.674	-88.8
620.0	0.017	-35.644	-89.3
630.0	0.016	-35.891	-92.9
640.0	0.014	-36.785	-92.9
650.0	0.016	-36.021	-88.7
660.0	0.017	-35.362	-94.6
670.0	0.018	-35.053	-98.4
680.0	0.016	-35.698	-94.2
690.0	0.015	-36.647	-92.5
700.0	0.014	-37.296	-92.5
710.0	0.013	-37.664	-92.6
720.0	0.013	-37.776	-94.8
730.0	0.013	-37.626	-92.4
740.0	0.013	-37.857	-87.2
750.0	0.013	-37.836	-90.5
760.0	0.013	-37.944	-100.8
770.0	0.012	-38.679	-93.2
780.0	0.011	-39.070	-97.7
790.0	0.011	-38.815	-101.2
800.0	0.012	-38.499	-84.4
810.0	0.012	-38.409	-93.8
820.0	0.012	-38.519	-93.3
830.0	0.013	-37.819	-93.0
840.0	0.018	-35.011	-96.4
850.0	0.028	-30.979	-91.8
860.0	0.042	-27.622	-91.8
870.0	0.058	-24.724	-93.4
880.0	0.085	-21.388	-88.1
890.0	0.107	-19.445	-101.9
900.0	0.077	-22.325	-90.4
910.0	0.049	-26.151	-94.6
920.0	0.035	-29.098	-96.4
930.0	0.028	-31.121	-91.5
940.0	0.023	-32.601	-94.4
950.0	0.021	-33.743	-95.4
960.0	0.019	-34.536	-94.4
970.0	0.018	-35.071	-91.0
980.0	0.017	-35.217	-74.4
990.0	0.016	-35.754	-94.6
1000.0	0.017	-35.579	-91.9
