  Hz	 Vrms	dBV	deg
100.0	0.013	-37.690	-96.4
200.0	0.011	-38.961	-114.3
300.0	0.010	-40.046	-126.1
400.0	0.008	-41.786	-140.4
500.0	0.024	-32.463	-146.7
600.0	0.009	-40.537	-152.0
700.0	0.012	-38.177	-156.2
800.0	0.010	-39.847	-162.3
900.0	0.015	-36.536	-163.4
1000.0	0.046	-26.798	-161.6
1100.0	0.015	-36.315	-168.4
1200.0	0.013	-37.661	-170.1
1300.0	0.015	-36.458	-172.0
1400.0	0.017	-35.644	-173.3
1500.0	0.019	-34.651	-174.8
1600.0	0.020	-33.816	-175.6
1700.0	0.021	-33.645	-176.6
1800.0	0.023	-32.791	-178.9
1900.0	0.024	-32.492	-179.5
2000.0	0.024	-32.419	179.8
2100.0	0.026	-31.784	179.1
2200.0	0.029	-30.742	178.1
2300.0	0.030	-30.560	177.0
2400.0	0.031	-30.076	176.1
2500.0	0.031	-30.138	175.7
2600.0	0.031	-30.092	174.5
2700.0	0.033	-29.673	173.5
2800.0	0.035	-29.077	173.1
2900.0	0.036	-28.903	172.4
3000.0	0.036	-28.843	171.8
3100.0	0.037	-28.730	171.1
3200.0	0.037	-28.544	170.6
3300.0	0.039	-28.262	169.9
3400.0	0.040	-28.026	169.4
3500.0	0.040	-27.859	168.7
3600.0	0.041	-27.722	168.0
3700.0	0.042	-27.489	167.4
3800.0	0.043	-27.278	166.7
3900.0	0.045	-26.991	166.4
4000.0	0.045	-26.915	165.8
4100.0	0.046	-26.757	165.1
4200.0	0.047	-26.587	164.8
4300.0	0.048	-26.449	164.2
4400.0	0.049	-26.264	163.8
4500.0	0.050	-26.062	163.5
4600.0	0.051	-25.819	162.5
4700.0	0.052	-25.672	162.1
4800.0	0.053	-25.597	162.0
4900.0	0.053	-25.501	161.4
5000.0	0.053	-25.517	161.3
5100.0	0.054	-25.301	161.0
5200.0	0.055	-25.209	160.5
5300.0	0.056	-25.046	160.5
5400.0	0.057	-24.902	159.8
5500.0	0.057	-24.816	158.8
5600.0	0.058	-24.736	159.4
5700.0	0.059	-24.568	158.7
5800.0	0.060	-24.436	158.0
5900.0	0.060	-24.385	158.0
6000.0	0.061	-24.287	157.4
6100.0	0.062	-24.188	157.6
6200.0	0.062	-24.220	156.9
6300.0	0.062	-24.114	156.7
6400.0	0.062	-24.120	156.8
6500.0	0.063	-24.048	156.2
6600.0	0.063	-24.078	155.6
6700.0	0.063	-23.974	155.8
6800.0	0.064	-23.922	155.2
6900.0	0.064	-23.836	154.8
7000.0	0.065	-23.767	154.7
7100.0	0.066	-23.657	154.7
7200.0	0.066	-23.655	154.1
7300.0	0.066	-23.571	153.4
7400.0	0.067	-23.502	153.9
7500.0	0.067	-23.453	153.4
7600.0	0.068	-23.357	153.5
7700.0	0.068	-23.324	153.4
7800.0	0.070	-23.110	153.0
7900.0	0.069	-23.209	152.7
8000.0	0.070	-23.158	152.5
8100.0	0.070	-23.129	152.5
8200.0	0.070	-23.067	151.8
8300.0	0.070	-23.039	152.1
8400.0	0.071	-22.942	152.0
8500.0	0.071	-22.926	152.0
8600.0	0.072	-22.897	151.4
8700.0	0.072	-22.913	150.9
8800.0	0.072	-22.824	151.1
8900.0	0.073	-22.775	151.2
9000.0	0.073	-22.736	150.9
9100.0	0.073	-22.711	150.8
9200.0	0.074	-22.673	150.7
9300.0	0.074	-22.634	150.4
9400.0	0.074	-22.612	150.5
9500.0	0.074	-22.624	150.1
9600.0	0.074	-22.584	150.5
9700.0	0.074	-22.597	149.5
9800.0	0.074	-22.581	150.2
9900.0	0.075	-22.549	150.0
10000	0.075	-22.537	149.9
