  Hz	 Vrms	dBV	deg
100.0	0.013	-37.958	160.5
200.0	0.013	-38.029	-166.9
300.0	0.010	-39.854	-173.6
400.0	0.010	-40.023	-178.4
500.0	0.028	-31.127	179.6
600.0	0.013	-37.558	174.2
700.0	0.017	-35.155	171.8
800.0	0.018	-34.898	169.7
900.0	0.023	-32.779	166.7
1000.0	0.056	-25.000	165.3
1100.0	0.028	-30.940	162.4
1200.0	0.030	-30.566	160.6
1300.0	0.034	-29.495	158.5
1400.0	0.037	-28.706	156.8
1500.0	0.040	-27.953	155.2
1600.0	0.044	-27.193	153.3
1700.0	0.046	-26.707	151.6
1800.0	0.050	-26.096	150.2
1900.0	0.052	-25.736	148.8
2000.0	0.054	-25.417	147.9
2100.0	0.057	-24.950	146.5
2200.0	0.061	-24.359	145.3
2300.0	0.062	-24.191	144.0
2400.0	0.065	-23.775	142.8
2500.0	0.066	-23.648	141.9
2600.0	0.067	-23.491	140.8
2700.0	0.069	-23.214	139.9
2800.0	0.072	-22.914	138.7
2900.0	0.073	-22.727	137.8
3000.0	0.074	-22.583	136.9
3100.0	0.075	-22.463	136.1
3200.0	0.076	-22.351	135.2
3300.0	0.078	-22.141	134.6
3400.0	0.079	-22.026	133.7
3500.0	0.080	-21.915	132.8
3600.0	0.081	-21.813	131.9
3700.0	0.082	-21.711	131.7
3800.0	0.083	-21.569	130.8
3900.0	0.085	-21.448	130.6
4000.0	0.085	-21.403	129.8
4100.0	0.086	-21.298	129.0
4200.0	0.087	-21.223	128.7
4300.0	0.088	-21.152	128.2
4400.0	0.088	-21.068	128.1
4500.0	0.089	-20.986	127.3
4600.0	0.090	-20.892	126.8
4700.0	0.091	-20.786	126.4
4800.0	0.091	-20.781	126.1
4900.0	0.092	-20.761	125.6
5000.0	0.093	-20.676	125.6
5100.0	0.092	-20.711	124.8
5200.0	0.093	-20.635	124.8
5300.0	0.093	-20.656	124.4
5400.0	0.093	-20.622	124.1
5500.0	0.094	-20.496	123.4
5600.0	0.096	-20.392	123.3
5700.0	0.096	-20.340	123.0
5800.0	0.096	-20.346	123.0
5900.0	0.096	-20.394	122.5
6000.0	0.097	-20.255	122.7
6100.0	0.097	-20.265	122.3
6200.0	0.097	-20.228	122.1
6300.0	0.097	-20.252	121.8
6400.0	0.096	-20.325	121.9
6500.0	0.096	-20.384	121.4
6600.0	0.097	-20.299	121.1
6700.0	0.097	-20.309	120.9
6800.0	0.096	-20.326	121.1
6900.0	0.097	-20.246	120.2
7000.0	0.097	-20.287	120.5
7100.0	0.097	-20.265	120.4
7200.0	0.098	-20.189	120.2
7300.0	0.097	-20.237	119.6
7400.0	0.097	-20.255	119.9
7500.0	0.098	-20.198	119.7
7600.0	0.098	-20.186	119.8
7700.0	0.098	-20.218	119.4
7800.0	0.099	-20.069	119.3
7900.0	0.098	-20.166	119.0
8000.0	0.098	-20.177	118.8
8100.0	0.098	-20.147	119.1
8200.0	0.098	-20.182	119.0
8300.0	0.098	-20.205	118.8
8400.0	0.099	-20.127	119.0
8500.0	0.099	-20.125	118.7
8600.0	0.098	-20.159	118.9
8700.0	0.098	-20.199	118.3
8800.0	0.098	-20.152	118.5
8900.0	0.098	-20.153	118.2
9000.0	0.099	-20.119	118.3
9100.0	0.098	-20.153	118.0
9200.0	0.098	-20.152	118.2
9300.0	0.098	-20.211	118.5
9400.0	0.098	-20.157	117.8
9500.0	0.098	-20.204	118.1
9600.0	0.097	-20.247	118.1
9700.0	0.097	-20.259	117.9
9800.0	0.097	-20.265	118.0
9900.0	0.097	-20.235	118.1
10000	0.097	-20.260	117.7
