  Hz	 Vrms	dBV	deg
100.0	0.014	-37.082	93.5
200.0	0.010	-39.645	-95.9
300.0	0.009	-40.474	-126.0
400.0	0.008	-41.932	-121.2
500.0	0.021	-33.354	81.1
600.0	0.009	-41.295	-141.2
700.0	0.011	-39.087	-147.8
800.0	0.009	-41.208	-151.9
900.0	0.014	-37.111	-155.9
1000.0	0.040	-27.913	-147.5
1100.0	0.012	-38.386	-159.0
1200.0	0.009	-40.679	-160.5
1300.0	0.011	-39.559	-164.6
1400.0	0.011	-38.813	-163.2
1500.0	0.013	-37.766	-166.0
1600.0	0.014	-37.009	-165.5
1700.0	0.014	-36.848	-167.7
1800.0	0.015	-36.261	-167.0
1900.0	0.015	-36.232	-168.9
2000.0	0.015	-36.388	-168.8
2100.0	0.017	-35.442	-169.7
2200.0	0.019	-34.347	-170.1
2300.0	0.020	-34.090	-170.8
2400.0	0.020	-33.839	-171.4
2500.0	0.019	-34.320	-172.0
2600.0	0.019	-34.430	-172.6
2700.0	0.020	-33.878	-172.4
2800.0	0.022	-33.174	-172.8
2900.0	0.022	-33.131	-173.9
3000.0	0.022	-33.330	-173.7
3100.0	0.021	-33.398	-173.9
3200.0	0.022	-33.257	-174.7
3300.0	0.023	-32.886	-174.6
3400.0	0.023	-32.772	-174.7
3500.0	0.023	-32.621	-175.3
3600.0	0.024	-32.561	-175.1
3700.0	0.024	-32.332	-175.7
3800.0	0.025	-32.180	-175.8
3900.0	0.026	-31.693	-176.0
4000.0	0.026	-31.761	-176.1
4100.0	0.026	-31.619	-176.2
4200.0	0.027	-31.419	-176.6
4300.0	0.027	-31.288	-176.9
4400.0	0.028	-31.014	-177.1
4500.0	0.029	-30.750	-177.3
4600.0	0.030	-30.444	-177.0
4700.0	0.030	-30.332	-177.6
4800.0	0.031	-30.265	-177.2
4900.0	0.031	-30.221	-177.7
5000.0	0.031	-30.289	-177.2
5100.0	0.032	-30.003	-177.6
5200.0	0.032	-29.985	-177.8
5300.0	0.032	-29.766	-177.7
5400.0	0.033	-29.630	-177.5
5500.0	0.034	-29.364	-177.7
5600.0	0.035	-29.143	-178.5
5700.0	0.035	-29.010	-177.7
5800.0	0.036	-28.890	-178.3
5900.0	0.036	-28.777	-178.6
6000.0	0.037	-28.615	-178.7
6100.0	0.037	-28.637	-178.4
6200.0	0.037	-28.718	-178.2
6300.0	0.037	-28.709	-178.9
6400.0	0.037	-28.620	-178.5
6500.0	0.037	-28.593	-178.3
6600.0	0.037	-28.594	-178.9
6700.0	0.038	-28.480	-178.9
6800.0	0.038	-28.349	-179.0
6900.0	0.039	-28.222	-179.4
7000.0	0.039	-28.134	-178.8
7100.0	0.040	-28.012	-178.8
7200.0	0.040	-27.949	-179.2
7300.0	0.041	-27.819	-179.0
7400.0	0.041	-27.711	-178.9
7500.0	0.042	-27.609	-179.0
7600.0	0.042	-27.466	-178.8
7700.0	0.043	-27.363	-179.0
7800.0	0.045	-26.911	-178.7
7900.0	0.044	-27.204	-178.9
8000.0	0.044	-27.144	-178.6
8100.0	0.044	-27.070	-178.8
8200.0	0.045	-26.962	-178.9
8300.0	0.046	-26.790	-179.0
8400.0	0.046	-26.796	-179.3
8500.0	0.047	-26.621	-178.9
8600.0	0.047	-26.626	-178.9
8700.0	0.047	-26.505	-178.6
8800.0	0.048	-26.427	-178.9
8900.0	0.048	-26.334	-179.1
9000.0	0.049	-26.258	-178.4
9100.0	0.049	-26.174	-178.9
9200.0	0.050	-26.084	-179.1
9300.0	0.050	-26.011	-178.5
9400.0	0.050	-25.990	-178.7
9500.0	0.051	-25.931	-178.7
9600.0	0.051	-25.845	-178.5
9700.0	0.051	-25.824	-178.6
9800.0	0.052	-25.739	-178.1
9900.0	0.052	-25.606	-178.5
10000	0.053	-25.564	-178.2
